Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_theta_b,cmd_beta_b,cmd_theta_c,cmd_beta_c,cmd_theta_d,cmd_beta_d,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_current_r_a,state_current_l_a,state_theta_b,state_beta_b,state_current_r_b,state_current_l_b,state_theta_c,state_beta_c,state_current_r_c,state_current_l_c,state_theta_d,state_beta_d,state_current_r_d,state_current_l_d,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1731395761.048029965,1,0,0,19.2249,18.4801,25.0902,23.2699,19.2249,18.4801,20.7132,18.8993,-1,1731395761,44508,19.2194,18.4738,1,1,25.0858,23.2664,1,1,19.2194,18.4738,1,1,20.7132,18.8913,1,1,9999,1731395761,44513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.048084285,2,0,0,19.2278,18.4832,25.0912,23.2729,19.2278,18.4832,20.7132,18.9034,-1,1731395761,45509,19.2194,18.4738,1,1,25.0858,23.2664,1,1,19.2194,18.4738,1,1,20.7132,18.8913,1,1,9999,1731395761,45516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.049071251,3,0,0,19.2306,18.4863,25.0921,23.2759,19.2306,18.4863,20.7135,18.9077,-1,1731395761,46535,19.2194,18.4738,1,1,25.0858,23.2664,1,1,19.2194,18.4738,1,1,20.7132,18.8913,1,1,9999,1731395761,46494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.050074417,4,0,0,19.2334,18.4894,25.0931,23.279,19.2334,18.4894,20.7141,18.9123,-1,1731395761,47516,19.2194,18.4738,1,1,25.0858,23.2664,1,1,19.2194,18.4738,1,1,20.7132,18.8913,1,1,9999,1731395761,47491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.051074738,5,0,0,19.2363,18.4924,25.094,23.282,19.2363,18.4924,20.715,18.9172,-1,1731395761,48512,19.2194,18.4738,1,1,25.0858,23.2664,1,1,19.2194,18.4738,1,1,20.7132,18.8913,1,1,9999,1731395761,48520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.052074448,6,0,0,19.2391,18.4955,25.095,23.2851,19.2391,18.4955,20.7164,18.9226,1,1731395761,49518,19.2249,18.4801,1,1,25.0902,23.2699,1,1,19.2249,18.4801,1,1,20.7132,18.8993,1,1,9999,1731395761,49528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.053074599,7,0,0,19.242,18.4985,25.096,23.2881,19.242,18.4985,20.7182,18.9285,2,1731395761,50518,19.2278,18.4832,1,1,25.0912,23.2729,1,1,19.2278,18.4832,1,1,20.7132,18.9034,1,1,9999,1731395761,50530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.054074058,8,0,0,19.2449,18.5016,25.097,23.2912,19.2449,18.5016,20.7207,18.935,3,1731395761,51519,19.2306,18.4863,1,1,25.0921,23.2759,1,1,19.2306,18.4863,1,1,20.7135,18.9077,1,1,9999,1731395761,51529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.055075892,9,0,0,19.2478,18.5046,25.0981,23.2942,19.2478,18.5046,20.7238,18.9421,4,1731395761,52516,19.2334,18.4894,1,1,25.0931,23.279,1,1,19.2334,18.4894,1,1,20.7141,18.9123,1,1,9999,1731395761,52525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.056074209,10,0,0,19.2507,18.5076,25.0991,23.2973,19.2507,18.5076,20.7276,18.9499,5,1731395761,53518,19.2363,18.4924,1,1,25.094,23.282,1,1,19.2363,18.4924,1,1,20.715,18.9172,1,1,9999,1731395761,53531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.057073948,11,0,0,19.2536,18.5106,25.1001,23.3003,19.2536,18.5106,20.7321,18.9585,6,1731395761,54517,19.2391,18.4955,1,1,25.095,23.2851,1,1,19.2391,18.4955,1,1,20.7164,18.9226,1,1,9999,1731395761,54531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731395761.058073998,12,0,0,19.2565,18.5136,25.1012,23.3034,19.2565,18.5136,20.7375,18.9679,7,1731395761,55519,19.242,18.4985,1,1,25.096,23.2881,1,1,19.242,18.4985,1,1,20.7182,18.9285,1,1,9999,1731395761,55532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
