Time,cmd_seq,cmd_sec,cmd_usec,cmd_theta_a,cmd_beta_a,cmd_trq_r_a,cmd_trq_l_a,cmd_theta_b,cmd_beta_b,cmd_trq_r_b,cmd_trq_l_b,cmd_theta_c,cmd_beta_c,cmd_trq_r_c,cmd_trq_l_b,cmd_theta_d,cmd_beta_d,cmd_trq_r_d,cmd_trq_l_b,state_seq,state_sec,state_usec,state_theta_a,state_beta_a,state_vel_r_a,state_vel_l_a,state_trq_r_a,state_trq_l_a,state_theta_b,state_beta_b,state_vel_r_b,state_vel_l_b,state_trq_r_b,state_trq_l_b,state_theta_c,state_beta_c,state_vel_r_c,state_vel_l_c,state_trq_r_c,state_trq_l_c,state_theta_d,state_beta_d,state_vel_r_d,state_vel_l_d,state_trq_r_d,state_trq_l_d,power_seq,power_sec,power_usec,v_0,i_0,v_1,i_1,v_2,i_2,v_3,i_3,v_4,i_4,v_5,i_5,v_6,i_6,v_7,i_7,v_8,i_8,v_9,i_9,v_10,i_10,v_11,i_11
1731953370.852078069,1,0,0,19.2249,18.4801,0,0,25.0902,23.2699,0,0,19.2249,18.4801,0,0,20.7132,18.8993,0,0,-1,1731953370,849503,19.2194,18.4738,1,1,1,1,25.0858,23.2664,1,1,1,1,19.2194,18.4738,1,1,1,1,20.7132,18.8913,1,1,1,1,9999,1731953370,849509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.852131493,2,0,0,19.2278,18.4832,0,0,25.0912,23.2729,0,0,19.2278,18.4832,0,0,20.7132,18.9034,0,0,-1,1731953370,850511,19.2194,18.4738,1,1,1,1,25.0858,23.2664,1,1,1,1,19.2194,18.4738,1,1,1,1,20.7132,18.8913,1,1,1,1,9999,1731953370,850519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.853089038,3,0,0,19.2306,18.4863,0,0,25.0921,23.2759,0,0,19.2306,18.4863,0,0,20.7135,18.9077,0,0,1,1731953370,851528,19.2249,18.4801,1,1,1,1,25.0902,23.2699,1,1,1,1,19.2249,18.4801,1,1,1,1,20.7132,18.8993,1,1,1,1,9999,1731953370,850519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.854093276,4,0,0,19.2334,18.4894,0,0,25.0931,23.279,0,0,19.2334,18.4894,0,0,20.7141,18.9123,0,0,2,1731953370,852537,19.2278,18.4832,1,1,1,1,25.0912,23.2729,1,1,1,1,19.2278,18.4832,1,1,1,1,20.7132,18.9034,1,1,1,1,9999,1731953370,852501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.855092264,5,0,0,19.2363,18.4924,0,0,25.094,23.282,0,0,19.2363,18.4924,0,0,20.715,18.9172,0,0,3,1731953370,853548,19.2306,18.4863,1,1,1,1,25.0921,23.2759,1,1,1,1,19.2306,18.4863,1,1,1,1,20.7135,18.9077,1,1,1,1,9999,1731953370,853498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.856092654,6,0,0,19.2391,18.4955,0,0,25.095,23.2851,0,0,19.2391,18.4955,0,0,20.7164,18.9226,0,0,3,1731953370,853548,19.2306,18.4863,1,1,1,1,25.0921,23.2759,1,1,1,1,19.2306,18.4863,1,1,1,1,20.7135,18.9077,1,1,1,1,9999,1731953370,854484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.857094247,7,0,0,19.242,18.4985,0,0,25.096,23.2881,0,0,19.242,18.4985,0,0,20.7182,18.9285,0,0,4,1731953370,854531,19.2334,18.4894,1,1,1,1,25.0931,23.279,1,1,1,1,19.2334,18.4894,1,1,1,1,20.7141,18.9123,1,1,1,1,9999,1731953370,855492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.858087815,8,0,0,19.2449,18.5016,0,0,25.097,23.2912,0,0,19.2449,18.5016,0,0,20.7207,18.935,0,0,5,1731953370,855547,19.2363,18.4924,1,1,1,1,25.094,23.282,1,1,1,1,19.2363,18.4924,1,1,1,1,20.715,18.9172,1,1,1,1,9999,1731953370,856502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.859104003,9,0,0,19.2478,18.5046,0,0,25.0981,23.2942,0,0,19.2478,18.5046,0,0,20.7238,18.9421,0,0,7,1731953370,857524,19.242,18.4985,1,1,1,1,25.096,23.2881,1,1,1,1,19.242,18.4985,1,1,1,1,20.7182,18.9285,1,1,1,1,9999,1731953370,857492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.860090359,10,0,0,19.2507,18.5076,0,0,25.0991,23.2973,0,0,19.2507,18.5076,0,0,20.7276,18.9499,0,0,8,1731953370,858535,19.2449,18.5016,1,1,1,1,25.097,23.2912,1,1,1,1,19.2449,18.5016,1,1,1,1,20.7207,18.935,1,1,1,1,9999,1731953370,858490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.861087133,11,0,0,19.2536,18.5106,0,0,25.1001,23.3003,0,0,19.2536,18.5106,0,0,20.7321,18.9585,0,0,9,1731953370,859522,19.2478,18.5046,1,1,1,1,25.0981,23.2942,1,1,1,1,19.2478,18.5046,1,1,1,1,20.7238,18.9421,1,1,1,1,9999,1731953370,859490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.862092492,12,0,0,19.2565,18.5136,0,0,25.1012,23.3034,0,0,19.2565,18.5136,0,0,20.7375,18.9679,0,0,10,1731953370,860502,19.2507,18.5076,1,1,1,1,25.0991,23.2973,1,1,1,1,19.2507,18.5076,1,1,1,1,20.7276,18.9499,1,1,1,1,9999,1731953370,860489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.863092572,13,0,0,19.2595,18.5165,0,0,25.1023,23.3064,0,0,19.2595,18.5165,0,0,20.7437,18.9781,0,0,11,1731953370,861493,19.2536,18.5106,1,1,1,1,25.1001,23.3003,1,1,1,1,19.2536,18.5106,1,1,1,1,20.7321,18.9585,1,1,1,1,9999,1731953370,861499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.864092312,14,0,0,19.2624,18.5195,0,0,25.1033,23.3095,0,0,19.2624,18.5195,0,0,20.7507,18.9892,0,0,12,1731953370,862500,19.2565,18.5136,1,1,1,1,25.1012,23.3034,1,1,1,1,19.2565,18.5136,1,1,1,1,20.7375,18.9679,1,1,1,1,9999,1731953370,862507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.865091500,15,0,0,19.2654,18.5225,0,0,25.1044,23.3126,0,0,19.2654,18.5225,0,0,20.7587,19.0011,0,0,13,1731953370,863503,19.2595,18.5165,1,1,1,1,25.1023,23.3064,1,1,1,1,19.2595,18.5165,1,1,1,1,20.7437,18.9781,1,1,1,1,9999,1731953370,863510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.866092121,16,0,0,19.2683,18.5254,0,0,25.1056,23.3156,0,0,19.2683,18.5254,0,0,20.7676,19.0141,0,0,14,1731953370,864501,19.2624,18.5195,1,1,1,1,25.1033,23.3095,1,1,1,1,19.2624,18.5195,1,1,1,1,20.7507,18.9892,1,1,1,1,9999,1731953370,864507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.867092141,17,0,0,19.2713,18.5283,0,0,25.1067,23.3187,0,0,19.2713,18.5283,0,0,20.7775,19.028,0,0,14,1731953370,864501,19.2624,18.5195,1,1,1,1,25.1033,23.3095,1,1,1,1,19.2624,18.5195,1,1,1,1,20.7507,18.9892,1,1,1,1,9999,1731953370,865509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.868093212,18,0,0,19.2743,18.5312,0,0,25.1078,23.3218,0,0,19.2743,18.5312,0,0,20.7883,19.0428,0,0,16,1731953370,866507,19.2683,18.5254,1,1,1,1,25.1056,23.3156,1,1,1,1,19.2683,18.5254,1,1,1,1,20.7676,19.0141,1,1,1,1,9999,1731953370,866514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.869109260,19,0,0,19.2773,18.5341,0,0,25.109,23.3248,0,0,19.2773,18.5341,0,0,20.8002,19.0587,0,0,17,1731953370,867501,19.2713,18.5283,1,1,1,1,25.1067,23.3187,1,1,1,1,19.2713,18.5283,1,1,1,1,20.7775,19.028,1,1,1,1,9999,1731953370,867507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.870109931,20,0,0,19.2803,18.537,0,0,25.1101,23.3279,0,0,19.2803,18.537,0,0,20.813,19.0755,0,0,18,1731953370,868519,19.2743,18.5312,1,1,1,1,25.1078,23.3218,1,1,1,1,19.2743,18.5312,1,1,1,1,20.7883,19.0428,1,1,1,1,9999,1731953370,868485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.871106385,21,0,0,19.2834,18.5399,0,0,25.1113,23.331,0,0,19.2834,18.5399,0,0,20.8269,19.0934,0,0,18,1731953370,868519,19.2743,18.5312,1,1,1,1,25.1078,23.3218,1,1,1,1,19.2743,18.5312,1,1,1,1,20.7883,19.0428,1,1,1,1,9999,1731953370,869491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.872110842,22,0,0,19.2864,18.5427,0,0,25.1125,23.334,0,0,19.2864,18.5427,0,0,20.8417,19.1123,0,0,19,1731953370,869546,19.2773,18.5341,1,1,1,1,25.109,23.3248,1,1,1,1,19.2773,18.5341,1,1,1,1,20.8002,19.0587,1,1,1,1,9999,1731953370,870492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.873106374,23,0,0,19.2894,18.5456,0,0,25.1137,23.3371,0,0,19.2894,18.5456,0,0,20.8577,19.1323,0,0,21,1731953370,871529,19.2834,18.5399,1,1,1,1,25.1113,23.331,1,1,1,1,19.2834,18.5399,1,1,1,1,20.8269,19.0934,1,1,1,1,9999,1731953370,871485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.874108247,24,0,0,19.2925,18.5484,0,0,25.1149,23.3402,0,0,19.2925,18.5484,0,0,20.8746,19.1532,0,0,21,1731953370,871529,19.2834,18.5399,1,1,1,1,25.1113,23.331,1,1,1,1,19.2834,18.5399,1,1,1,1,20.8269,19.0934,1,1,1,1,9999,1731953370,872491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.875093181,25,0,0,19.2956,18.5512,0,0,25.1161,23.3433,0,0,19.2956,18.5512,0,0,20.8925,19.1752,0,0,22,1731953370,872533,19.2864,18.5427,1,1,1,1,25.1125,23.334,1,1,1,1,19.2864,18.5427,1,1,1,1,20.8417,19.1123,1,1,1,1,9999,1731953370,873492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.876095985,26,0,0,19.2986,18.554,0,0,25.1173,23.3464,0,0,19.2986,18.554,0,0,20.9115,19.1981,0,0,24,1731953370,874522,19.2925,18.5484,1,1,1,1,25.1149,23.3402,1,1,1,1,19.2925,18.5484,1,1,1,1,20.8746,19.1532,1,1,1,1,9999,1731953370,874492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731953370.877102567,27,0,0,19.3017,18.5568,0,0,25.1186,23.3494,0,0,19.3017,18.5568,0,0,20.9314,19.2221,0,0,25,1731953370,875518,19.2956,18.5512,1,1,1,1,25.1161,23.3433,1,1,1,1,19.2956,18.5512,1,1,1,1,20.8925,19.1752,1,1,1,1,9999,1731953370,875489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
