C.x,C.y,C.z,v.x,v.y,v.z,a.x,a.y,a.z,w.x,w.y,w.z,q.w,q.x,q.y,q.z,lf.theta,lf.beta,lf.theta_d,lf.beta_d,rf.theta,rf.beta,rf.theta_d,rf.beta_d,rh.theta,rh.beta,rh.theta_d,rh.beta_d,lh.theta,lh.beta,lh.theta_d,lh.beta_d,lf.contact,rf.contact,rh.contact,lh.contact,lf.dist,rf.dist,rh.dist,lh.dist
-1.00199,2.00598,0.114125,-0.027001160345675644,0.0016313350158290634,0.009074875097809522,-0.0014506634715786195,-0.000915050332636377,-0.019589955380808988,3.37229e-07,0.000702974,1.50912e-05,1.0,6.61034e-08,-4.76882e-05,-7.89183e-06,0.3182981228390361,-0.09436184999999991,0.07832999999999868,-0.2344700000000005,0.3387464728390361,-0.1517905,0.13219999999999898,-0.37719999999999976,0.338521972839036,0.15209099999999998,0.1344999999999985,0.37409999999999943,0.3180065728390361,0.09469440000000004,0.0814200000000001,0.2309799999999987,0.0,0.0,0.0,0.0,0.113931,0.114842,0.114804,0.113893
-1.00212,2.00599,0.114166,-0.027018502525036004,0.001621516826970659,0.008941066980762085,-0.003467819727714349,-0.0019639808038723694,-0.026739958435241462,3.37229e-07,0.000664464,1.54488e-05,1.0,6.69578e-08,-4.6027e-05,-7.85321e-06,0.31868477283903607,-0.09553420000000001,0.07733000000000045,-0.2344700000000005,0.3394009728390361,-0.153677,0.13089999999999907,-0.37729999999999847,0.3391884728390361,0.15396250000000003,0.13330000000000147,0.374300000000001,0.31840782283903607,0.09585015,0.08024999999999977,0.2311500000000008,0.0,0.0,0.0,0.0,0.11397,0.114892,0.114855,0.113933
-1.00226,2.006,0.114206,-0.027028142094943454,0.0016094289136279719,0.008803054363260735,-0.0019292127138266918,-0.0024175172714272623,-0.02757996117830608,3.37229e-07,0.000617886,1.65837e-05,1.0,6.78111e-08,-4.44823e-05,-7.81175e-06,0.319067072839036,-0.09670690000000004,0.07645999999999903,-0.23453999999999836,0.34005097283903607,-0.155563,0.13000000000000095,-0.37720000000000115,0.339848472839036,0.1558345,0.1319999999999974,0.37439999999999835,0.318803422839036,0.09700654999999997,0.07911999999999919,0.23128000000000037,0.0,0.0,0.0,0.0,0.114008,0.11494,0.114905,0.113972
-1.00239,2.006,0.114246,-0.027030979633021993,0.0016002512663918992,0.008671563150900832,-0.0005581992979277867,-0.0018359237349926635,-0.026279963763855108,3.37229e-07,0.000602748,1.77566e-05,1.0,6.86639e-08,-4.29755e-05,-7.76736e-06,0.31944407283903603,-0.09787890000000005,0.07540000000000185,-0.2343999999999999,0.3406954728390361,-0.15744949999999996,0.12889999999999985,-0.37730000000000125,0.340503472839036,0.15770749999999994,0.13100000000000056,0.37459999999999993,0.3191940228390361,0.09816395000000006,0.07811999999999958,0.2314799999999992,0.0,0.0,0.0,0.0,0.114045,0.114989,0.114954,0.114011
-1.00253,2.00601,0.114284,-0.027066307973942015,0.0016128224680220103,0.00857002450764094,-0.0070477462319645965,0.00251408977638865,-0.02028996565965535,3.37229e-07,0.00045572,1.29284e-05,1.0,6.95145e-08,-4.18362e-05,-7.73504e-06,0.31981747283903605,-0.09905149999999996,0.07467999999999919,-0.23451999999999917,0.3413359728390361,-0.15933599999999998,0.12810000000000044,-0.37729999999999986,0.3411534728390361,0.15958050000000001,0.12999999999999956,0.37459999999999993,0.31957982283903613,0.09932215000000008,0.07716000000000112,0.23163999999999962,0.0,0.0,0.0,0.0,0.114082,0.115036,0.115003,0.114049
-1.00266,2.00602,0.114323,-0.027084136109115833,0.001602634099583832,0.008446258101120218,-0.0035798163759933168,-0.0020383567062818323,-0.024739967391839812,3.37229e-07,0.0004275,1.41023e-05,1.0,7.03643e-08,-4.07674e-05,-7.69978e-06,0.320186372839036,-0.10022360000000002,0.07377999999999968,-0.23442000000000046,0.34197097283903605,-0.16122200000000003,0.12699999999999934,-0.37719999999999976,0.34179747283903605,0.1614545,0.12880000000000252,0.3748000000000015,0.31996092283903604,0.10048105000000002,0.07621999999999907,0.23178000000000087,0.0,0.0,0.0,0.0,0.114119,0.115084,0.115051,0.114086
-1.0028,2.00603,0.114361,-0.02709426340205798,0.0015875059019773575,0.008320832205367964,-0.0020181501220169693,-0.0030265431910598962,-0.02506996904476111,3.37229e-07,0.000418685,1.44784e-05,1.0,7.1214e-08,-3.97207e-05,-7.66358e-06,0.320551772839036,-0.10139620000000005,0.07307999999999898,-0.23452000000000056,0.3426019728390361,-0.16310799999999998,0.12619999999999992,-0.37719999999999837,0.34243747283903603,0.16332949999999996,0.12799999999999895,0.37499999999999895,0.32033742283903605,0.10164055,0.07530000000000037,0.23189999999999877,0.0,0.0,0.0,0.0,0.114155,0.11513,0.115099,0.114123
-1.00293,2.00604,0.114398,-0.027100589755111554,0.0015706277999860407,0.008197416743282827,-0.0012565444720363992,-0.00337650967501723,-0.024669970633137694,3.37229e-07,0.000412988,1.47502e-05,1.0,7.20635e-08,-3.86882e-05,-7.62671e-06,0.320912872839036,-0.10256810000000005,0.07222000000000062,-0.2343800000000007,0.3432289728390361,-0.164995,0.1254000000000019,-0.37740000000000135,0.343072472839036,0.16520449999999998,0.12700000000000072,0.3750000000000017,0.320709472839036,0.10280049999999993,0.07440999999999975,0.23199000000000136,0.0,0.0,0.0,0.0,0.11419,0.115176,0.115145,0.114159
-1.00307,2.00604,0.114434,-0.02708200536467038,0.001528760853137257,0.008110592955615498,0.003728206553963945,-0.008373346138114935,-0.017359971532910023,3.37229e-07,0.00023894,2.04435e-05,1.0,7.29091e-08,-3.80909e-05,-7.5756e-06,0.321271272839036,-0.10374070000000002,0.07168000000000035,-0.23452000000000056,0.343851972839036,-0.16688100000000006,0.12459999999999832,-0.37719999999999837,0.34370297283903606,0.16708,0.12609999999999844,0.37509999999999766,0.3210777228390361,0.10396125,0.07365000000000149,0.23214999999999902,0.0,0.0,0.0,0.0,0.114225,0.115222,0.115191,0.114195
-1.0032,2.00605,0.114471,-0.027068321961628318,0.0015049740468006,0.007999362636072127,0.0027222970499629078,-0.0047577925979210706,-0.02223997233549646,3.37229e-07,0.000216325,2.2082e-05,1.0,7.37542e-08,-3.75501e-05,-7.52039e-06,0.32162597283903605,-0.10491299999999998,0.07094000000000128,-0.23445999999999884,0.3444709728390361,-0.16876699999999994,0.1238000000000003,-0.37720000000000115,0.34432997283903605,0.168956,0.1254000000000005,0.37520000000000053,0.32144232283903607,0.10512265000000001,0.07291999999999993,0.23228,0.0,0.0,0.0,0.0,0.11426,0.115267,0.115237,0.11423
